Division 1,Radcliffe & Bingham 1,Grantham 1,2025-09-08
Division 1,Beeston 1,Grantham 1,2025-09-16
Division 1,Gambit 1,Radcliffe & Bingham 1,2025-09-23
Division 1,Mansfield 1,Ashfield 1,2025-09-25
Division 1,West Bridgford 1,Grantham 1,2025-09-29
Division 1,Gambit 1,Beeston 1,2025-09-30
Division 1,University 1,Ashfield 1,2025-10-01
Division 1,Radcliffe & Bingham 1,Newark 1,2025-10-06
Division 1,Beeston 1,University 1,2025-10-07
Division 1,Mansfield 1,West Bridgford 1,2025-10-09
Division 1,Gambit 1,Grantham 1,2025-10-14
Division 1,Newark 1,Mansfield 1,2025-10-20
Division 1,Ashfield 1,Gambit 1,2025-10-22
Division 1,Newark 1,University 1,2025-10-27
Division 1,Beeston 1,Radcliffe & Bingham 1,2025-10-28
Division 1,Radcliffe & Bingham 1,University 1,2025-11-03
Division 1,West Bridgford 1,Ashfield 1,2025-11-03
Division 1,Grantham 1,Mansfield 1,2025-11-05
Division 1,Newark 1,Beeston 1,2025-11-10
Division 1,Radcliffe & Bingham 1,Ashfield 1,2025-11-10
Division 1,Mansfield 1,Gambit 1,2025-11-13
Division 1,Newark 1,West Bridgford 1,2025-11-17
Division 1,University 1,Grantham 1,2025-11-19
Division 1,Radcliffe & Bingham 1,Gambit 1,2025-11-24
Division 1,Beeston 1,Ashfield 1,2025-11-25
Division 1,University 1,Mansfield 1,2025-11-26
Division 1,West Bridgford 1,Beeston 1,2025-12-01
Division 1,Grantham 1,Newark 1,2025-12-03
Division 1,Newark 1,Radcliffe & Bingham 1,2025-12-08
Division 1,Gambit 1,West Bridgford 1,2025-12-09
Division 1,Ashfield 1,University 1,2025-12-10
Division 1,Ashfield 1,Mansfield 1,2025-12-17
Division 1,Grantham 1,Gambit 1,2025-12-17
Division 1,University 1,Beeston 1,2025-12-17
Division 1,Radcliffe & Bingham 1,West Bridgford 1,2026-01-05
Division 1,Beeston 1,Newark 1,2026-01-06
Division 1,Mansfield 1,Grantham 1,2026-01-08
Division 1,West Bridgford 1,University 1,2026-01-12
Division 1,Gambit 1,Newark 1,2026-01-13
Division 1,Ashfield 1,Radcliffe & Bingham 1,2026-01-14
Division 1,West Bridgford 1,Mansfield 1,2026-01-26
Division 1,Ashfield 1,Beeston 1,2026-01-28
Division 1,Grantham 1,Radcliffe & Bingham 1,2026-01-28
Division 1,University 1,Newark 1,2026-01-28
Division 1,Mansfield 1,Radcliffe & Bingham 1,2026-02-05
Division 1,Gambit 1,University 1,2026-02-10
Division 1,Grantham 1,West Bridgford 1,2026-02-11
Division 1,Newark 1,Ashfield 1,2026-02-16
Division 1,Beeston 1,Mansfield 1,2026-02-17
Division 1,West Bridgford 1,Gambit 1,2026-02-23
Division 1,Grantham 1,Ashfield 1,2026-02-25
Division 1,University 1,West Bridgford 1,2026-03-04
Division 1,Radcliffe & Bingham 1,Beeston 1,2026-03-09
Division 1,Gambit 1,Mansfield 1,2026-03-10
Division 1,Grantham 1,University 1,2026-03-11
Division 1,West Bridgford 1,Newark 1,2026-03-16
Division 1,Gambit 1,Ashfield 1,2026-03-17
Division 1,University 1,Radcliffe & Bingham 1,2026-03-25
Division 1,Newark 1,Grantham 1,2026-03-30
Division 1,Radcliffe & Bingham 1,Mansfield 1,2026-03-30
Division 1,Beeston 1,Gambit 1,2026-03-31
Division 1,Ashfield 1,West Bridgford 1,2026-04-08
Division 1,Mansfield 1,Beeston 1,2026-04-09
Division 1,Ashfield 1,Newark 1,2026-04-15
Division 1,Grantham 1,Beeston 1,2026-04-22
Division 1,Newark 1,Gambit 1,2026-04-27
Division 1,West Bridgford 1,Radcliffe & Bingham 1,2026-04-27
Division 1,Ashfield 1,Grantham 1,2026-04-29
Division 1,Mansfield 1,University 1,2026-04-30
Division 1,Beeston 1,West Bridgford 1,2026-05-05
Division 1,University 1,Gambit 1,2026-05-06
Division 1,Mansfield 1,Newark 1,2026-05-07
Division 2,Nomads 1,West Nottingham 1,2025-09-08
Division 2,Grantham 2,Radcliffe & Bingham 2,2025-09-10
Division 2,Gambit 2,Gambit 3,2025-09-16
Division 2,Radcliffe & Bingham 2,Nomads 1,2025-09-22
Division 2,Ashfield 2,Grantham 2,2025-09-24
Division 2,West Nottingham 1,West Bridgford 2,2025-09-30
Division 2,Nomads 1,Gambit 3,2025-10-06
Division 2,West Bridgford 2,Grantham 2,2025-10-06
Division 2,Gambit 2,Ashfield 2,2025-10-07
Division 2,Grantham 2,West Nottingham 1,2025-10-15
Division 2,Radcliffe & Bingham 2,Gambit 2,2025-10-20
Division 2,West Bridgford 2,Gambit 3,2025-10-27
Division 2,Ashfield 2,Nomads 1,2025-10-29
Division 2,Gambit 2,Grantham 2,2025-11-04
Division 2,Ashfield 2,West Nottingham 1,2025-11-05
Division 2,West Bridgford 2,Radcliffe & Bingham 2,2025-11-10
Division 2,Gambit 3,Gambit 2,2025-11-11
Division 2,Nomads 1,Radcliffe & Bingham 2,2025-11-17
Division 2,Ashfield 2,West Bridgford 2,2025-11-19
Division 2,Gambit 3,Grantham 2,2025-11-25
Division 2,Ashfield 2,Gambit 2,2025-11-26
Division 2,Radcliffe & Bingham 2,West Nottingham 1,2025-12-01
Division 2,Gambit 2,Nomads 1,2025-12-02
Division 2,West Nottingham 1,Gambit 3,2025-12-09
Division 2,Grantham 2,West Bridgford 2,2025-12-10
Division 2,Radcliffe & Bingham 2,Ashfield 2,2025-12-15
Division 2,West Bridgford 2,Nomads 1,2025-12-15
Division 2,Nomads 1,Grantham 2,2026-01-05
Division 2,West Nottingham 1,Gambit 2,2026-01-06
Division 2,Ashfield 2,Gambit 3,2026-01-07
Division 2,Gambit 3,West Bridgford 2,2026-01-20
Division 2,Nomads 1,Ashfield 2,2026-01-26
Division 2,Gambit 2,Radcliffe & Bingham 2,2026-01-27
Division 2,West Nottingham 1,Grantham 2,2026-01-27
Division 2,Radcliffe & Bingham 2,Gambit 3,2026-02-09
Division 2,West Bridgford 2,Ashfield 2,2026-02-09
Division 2,Nomads 1,West Bridgford 2,2026-02-16
Division 2,Grantham 2,Gambit 3,2026-02-18
Division 2,Gambit 2,West Nottingham 1,2026-02-24
Division 2,Grantham 2,Ashfield 2,2026-03-04
Division 2,West Bridgford 2,Gambit 2,2026-03-09
Division 2,Gambit 3,Nomads 1,2026-03-10
Division 2,West Nottingham 1,Radcliffe & Bingham 2,2026-03-10
Division 2,Radcliffe & Bingham 2,West Bridgford 2,2026-03-23
Division 2,Grantham 2,Gambit 2,2026-03-25
Division 2,Gambit 3,Ashfield 2,2026-03-31
Division 2,West Nottingham 1,Nomads 1,2026-03-31
Division 2,Gambit 3,Radcliffe & Bingham 2,2026-04-07
Division 2,Nomads 1,Gambit 2,2026-04-13
Division 2,West Bridgford 2,West Nottingham 1,2026-04-13
Division 2,Radcliffe & Bingham 2,Grantham 2,2026-04-20
Division 2,West Nottingham 1,Ashfield 2,2026-04-21
Division 2,Gambit 2,West Bridgford 2,2026-04-28
Division 2,Gambit 3,West Nottingham 1,2026-05-05
Division 2,Ashfield 2,Radcliffe & Bingham 2,2026-05-06
Division 2,Grantham 2,Nomads 1,2026-05-06
Division 3,Gambit 4,Gambit 5,2025-09-09
Division 3,Ashfield 3,Beeston 2,2025-09-17
Division 3,Grantham 3,Nomads 2,2025-09-17
Division 3,Beeston 2,Grantham 3,2025-09-23
Division 3,Gambit 5,Ashfield 3,2025-09-23
Division 3,Nomads 2,Gambit 4,2025-09-29
Division 3,Gambit 5,University 2,2025-09-30
Division 3,Ashfield 3,Newark 2,2025-10-08
Division 3,Gambit 4,Beeston 2,2025-10-14
Division 3,University 2,Newark 2,2025-10-15
Division 3,Gambit 5,Beeston 2,2025-10-21
Division 3,Ashfield 3,Nomads 2,2025-10-22
Division 3,University 2,Grantham 3,2025-10-22
Division 3,Grantham 3,Newark 2,2025-10-29
Division 3,Gambit 5,Nomads 2,2025-11-04
Division 3,University 2,Gambit 4,2025-11-05
Division 3,Grantham 3,Ashfield 3,2025-11-12
Division 3,University 2,Beeston 2,2025-11-12
Division 3,Gambit 4,Newark 2,2025-11-18
Division 3,Nomads 2,Newark 2,2025-11-24
Division 3,Grantham 3,Gambit 4,2025-11-26
Division 3,Nomads 2,University 2,2025-12-01
Division 3,Beeston 2,Ashfield 3,2025-12-02
Division 3,Gambit 5,Newark 2,2025-12-09
Division 3,Newark 2,University 2,2025-12-15
Division 3,Beeston 2,Nomads 2,2025-12-16
Division 3,Gambit 4,Ashfield 3,2025-12-16
Division 3,Grantham 3,Gambit 5,2025-12-17
Division 3,Newark 2,Ashfield 3,2026-01-05
Division 3,Gambit 5,Gambit 4,2026-01-06
Division 3,Nomads 2,Grantham 3,2026-01-12
Division 3,Beeston 2,Gambit 4,2026-01-13
Division 3,University 2,Gambit 5,2026-01-14
Division 3,Newark 2,Grantham 3,2026-01-19
Division 3,Gambit 4,University 2,2026-01-27
Division 3,Newark 2,Nomads 2,2026-02-02
Division 3,Ashfield 3,Gambit 5,2026-02-04
Division 3,Grantham 3,University 2,2026-02-04
Division 3,Newark 2,Beeston 2,2026-02-09
Division 3,Gambit 4,Grantham 3,2026-02-24
Division 3,Ashfield 3,University 2,2026-02-25
Division 3,Newark 2,Gambit 5,2026-03-02
Division 3,Nomads 2,Beeston 2,2026-03-02
Division 3,Ashfield 3,Grantham 3,2026-03-11
Division 3,University 2,Nomads 2,2026-03-18
Division 3,Newark 2,Gambit 4,2026-03-23
Division 3,Beeston 2,University 2,2026-03-24
Division 3,Gambit 5,Grantham 3,2026-03-24
Division 3,Nomads 2,Ashfield 3,2026-03-30
Division 3,Beeston 2,Gambit 5,2026-04-07
Division 3,Gambit 4,Nomads 2,2026-04-14
Division 3,Grantham 3,Beeston 2,2026-04-15
Division 3,Ashfield 3,Gambit 4,2026-04-22
Division 3,Nomads 2,Gambit 5,2026-04-27
Division 3,Beeston 2,Newark 2,2026-04-28
Division 3,University 2,Ashfield 3,2026-04-29
Division 4,Nomads 3,Grantham 4,2025-09-08
Division 4,Radcliffe & Bingham 3,Radcliffe & Bingham 4,2025-09-08
Division 4,Nomads 3,Ashfield 4,2025-09-15
Division 4,Gambit 6,Radcliffe & Bingham 3,2025-09-16
Division 4,West Nottingham 2,Grantham 4,2025-09-16
Division 4,Radcliffe & Bingham 4,Gambit 6,2025-09-22
Division 4,West Nottingham 2,Central 1,2025-09-23
Division 4,Ashfield 4,Radcliffe & Bingham 3,2025-10-01
Division 4,Gambit 6,Nomads 3,2025-10-07
Division 4,Grantham 4,Radcliffe & Bingham 4,2025-10-08
Division 4,Radcliffe & Bingham 3,West Nottingham 2,2025-10-13
Division 4,Central 1,Gambit 6,2025-10-14
Division 4,Grantham 4,Ashfield 4,2025-10-15
Division 4,West Nottingham 2,Nomads 3,2025-10-21
Division 4,Central 1,Ashfield 4,2025-10-28
Division 4,Radcliffe & Bingham 4,Radcliffe & Bingham 3,2025-11-03
Division 4,Grantham 4,Nomads 3,2025-11-05
Division 4,Central 1,West Nottingham 2,2025-11-11
Division 4,Gambit 6,Radcliffe & Bingham 4,2025-11-18
Division 4,Ashfield 4,West Nottingham 2,2025-11-19
Division 4,Grantham 4,Central 1,2025-11-19
Division 4,Radcliffe & Bingham 3,Gambit 6,2025-11-24
Division 4,Ashfield 4,Nomads 3,2025-11-26
Division 4,Radcliffe & Bingham 4,Central 1,2025-12-08
Division 4,Grantham 4,Radcliffe & Bingham 3,2025-12-10
Division 4,Nomads 3,Gambit 6,2025-12-15
Division 4,Radcliffe & Bingham 4,West Nottingham 2,2025-12-15
Division 4,Ashfield 4,Central 1,2025-12-17
Division 4,Nomads 3,Central 1,2026-01-05
Division 4,Radcliffe & Bingham 4,Grantham 4,2026-01-05
Division 4,Central 1,Radcliffe & Bingham 3,2026-01-13
Division 4,Gambit 6,Grantham 4,2026-01-13
Division 4,West Nottingham 2,Ashfield 4,2026-01-13
Division 4,Nomads 3,Radcliffe & Bingham 4,2026-01-26
Division 4,Radcliffe & Bingham 3,Ashfield 4,2026-02-02
Division 4,Central 1,Grantham 4,2026-02-03
Division 4,Gambit 6,West Nottingham 2,2026-02-03
Division 4,Radcliffe & Bingham 3,Nomads 3,2026-02-16
Division 4,West Nottingham 2,Radcliffe & Bingham 4,2026-02-17
Division 4,Ashfield 4,Gambit 6,2026-02-18
Division 4,Radcliffe & Bingham 3,Grantham 4,2026-03-02
Division 4,Gambit 6,Central 1,2026-03-03
Division 4,Nomads 3,West Nottingham 2,2026-03-09
Division 4,Radcliffe & Bingham 4,Ashfield 4,2026-03-09
Division 4,Radcliffe & Bingham 4,Nomads 3,2026-03-23
Division 4,West Nottingham 2,Radcliffe & Bingham 3,2026-03-24
Division 4,Grantham 4,Gambit 6,2026-03-25
Division 4,Ashfield 4,Grantham 4,2026-04-01
Division 4,Central 1,Radcliffe & Bingham 4,2026-04-07
Division 4,Nomads 3,Radcliffe & Bingham 3,2026-04-13
Division 4,Gambit 6,Ashfield 4,2026-04-21
Division 4,Grantham 4,West Nottingham 2,2026-04-22
Division 4,Radcliffe & Bingham 3,Central 1,2026-04-27
Division 4,West Nottingham 2,Gambit 6,2026-04-28
Division 4,Central 1,Nomads 3,2026-05-05
Division 4,Ashfield 4,Radcliffe & Bingham 4,2026-05-06
Division 5,Gambit 7,West Nottingham 3,2025-09-09
Division 5,Radcliffe & Bingham 5,Radcliffe & Bingham 6,2025-09-15
Division 5,Central 2,Beeston 3,2025-09-16
Division 5,Ashfield 5,West Nottingham 3,2025-09-17
Division 5,Radcliffe & Bingham 5,Gambit 7,2025-09-29
Division 5,Beeston 3,Ashfield 5,2025-09-30
Division 5,Radcliffe & Bingham 6,Gambit 7,2025-10-06
Division 5,West Nottingham 3,Radcliffe & Bingham 5,2025-10-07
Division 5,Newark 3,Central 2,2025-10-13
Division 5,Radcliffe & Bingham 6,Beeston 3,2025-10-13
Division 5,Radcliffe & Bingham 5,Ashfield 5,2025-10-20
Division 5,Beeston 3,Newark 3,2025-10-21
Division 5,Gambit 7,Central 2,2025-10-21
Division 5,Beeston 3,Radcliffe & Bingham 5,2025-10-28
Division 5,Newark 3,Ashfield 5,2025-11-03
Division 5,Radcliffe & Bingham 6,West Nottingham 3,2025-11-03
Division 5,Central 2,Radcliffe & Bingham 5,2025-11-04
Division 5,Gambit 7,Beeston 3,2025-11-11
Division 5,Ashfield 5,Radcliffe & Bingham 6,2025-11-12
Division 5,Radcliffe & Bingham 5,Newark 3,2025-11-17
